# all = All included (no selection)									
equation	topic	lifecycle	treatment	age	delivery	formula	P-value	Significance	comments
35	influence of pe	all	Control	all	Cesarean	phage family+lifecycle counts ~  age + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle
36	influence of pe	all	Control	all	Vaginal	phage family+lifecycle counts ~  age + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle
37	influence of pe	all	PE	6 months	all	phage family+lifecycle counts ~  delivery + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle
38	influence of pe	all	PE	12 months	all	phage family+lifecycle counts ~  delivery + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle
39	influence of pe	all	PE	all	Cesarean	phage family+lifecycle counts ~  age + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle
40	influence of pe	all	PE	all	Vaginal	phage family+lifecycle counts ~  age + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle
41	phage host link	all	Control	6 months	all	phage family+lifecycle+host species counts ~  delivery + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle + host species name
42	phage host link	all	Control	12 months	all	phage family+lifecycle+host species counts ~  delivery + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle + host species name
43	phage host link	all	Control	all	Cesarean	phage family+lifecycle+host species counts ~  age + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle + host species name
44	phage host link	all	Control	all	Vaginal	phage family+lifecycle+host species counts ~  age + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle + host species name
45	phage host link	all	PE	6 months	all	phage family+lifecycle+host species counts ~  delivery + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle + host species name
46	phage host link	all	PE	12 months	all	phage family+lifecycle+host species counts ~  delivery + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle + host species name
47	phage host link	all	PE	all	Cesarean	phage family+lifecycle+host species counts ~  age + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle + host species name
48	phage host link	all	PE	all	Vaginal	phage family+lifecycle+host species counts ~  age + (1 | babyID), family=binomial	0	****	formula applied to each phage family + lifecycle + host species name
